glacier_id,lat,lon
G001187E70166S,-70.166,1.187
G002050E70629S,-70.629,2.05
G002939E70509S,-70.509,2.939
G004329E70346S,-70.346,4.329
G005595E70250S,-70.25,5.595
G006365E70134S,-70.134,6.365
G010806E70040S,-70.04,10.806
G016030E69844S,-69.844,16.03
G026381E70283S,-70.283,26.381
G037689E69627S,-69.627,37.689
G038319E69639S,-69.639,38.319
G038745E69972S,-69.972,38.745
G038810E69643S,-69.643,38.81
G038821E69647S,-69.647,38.821
G038977E69864S,-69.864,38.977
G038994E69875S,-69.875,38.994
G038995E69866S,-69.866,38.995
G039004E69869S,-69.869,39.004
G039013E69881S,-69.881,39.013
G039024E69867S,-69.867,39.024
G039036E69882S,-69.882,39.036
G039044E69876S,-69.876,39.044
G039051E69890S,-69.89,39.051
G039057E69881S,-69.881,39.057
G039061E69837S,-69.837,39.061
G039063E69869S,-69.869,39.063
G039064E69864S,-69.864,39.064
G039080E69843S,-69.843,39.08
G039080E69854S,-69.854,39.08
G039089E69863S,-69.863,39.089
G039094E69848S,-69.848,39.094
G039098E69764S,-69.764,39.098
G039098E69862S,-69.862,39.098
G039107E69856S,-69.856,39.107
G039136E69733S,-69.733,39.136
G039253E69038S,-69.038,39.253
G039265E69644S,-69.644,39.265
G039436E69020S,-69.02,39.436
G039463E69067S,-69.067,39.463
G039483E69056S,-69.056,39.483
G039504E69021S,-69.021,39.504
G039519E69033S,-69.033,39.519
G039521E69016S,-69.016,39.521
G039521E69084S,-69.084,39.521
G039523E69043S,-69.043,39.523
G039532E69048S,-69.048,39.532
G039533E69036S,-69.036,39.533
G039536E69026S,-69.026,39.536
G039546E69047S,-69.047,39.546
G039555E69044S,-69.044,39.555
G039562E69051S,-69.051,39.562
G039564E69021S,-69.021,39.564
G039574E69020S,-69.02,39.574
G039575E69025S,-69.025,39.575
G039580E69052S,-69.052,39.58
G039581E69049S,-69.049,39.581
G039585E68995S,-68.995,39.585
G039591E69005S,-69.005,39.591
G039600E69279S,-69.279,39.6
G039603E69058S,-69.058,39.603
G039604E69014S,-69.014,39.604
G039607E69075S,-69.075,39.607
G039614E69073S,-69.073,39.614
G039619E69068S,-69.068,39.619
G039633E68989S,-68.989,39.633
G039640E69272S,-69.272,39.64
G039645E69269S,-69.269,39.645
G039650E69281S,-69.281,39.65
G039663E69252S,-69.252,39.663
G039665E69245S,-69.245,39.665
G039682E69230S,-69.23,39.682
G039688E69222S,-69.222,39.688
G039690E69233S,-69.233,39.69
G039691E69647S,-69.647,39.691
G039701E69223S,-69.223,39.701
G042279E68357S,-68.357,42.279
G042293E68353S,-68.353,42.293
G042301E68359S,-68.359,42.301
G042819E68128S,-68.128,42.819
G042821E68133S,-68.133,42.821
G042831E68129S,-68.129,42.831
G042896E68069S,-68.069,42.896
G042906E68075S,-68.075,42.906
G042936E68067S,-68.067,42.936
G043090E68013S,-68.013,43.09
G043104E68021S,-68.021,43.104
G043211E68036S,-68.036,43.211
G043252E68032S,-68.032,43.252
G043263E68029S,-68.029,43.263
G043323E68025S,-68.025,43.323
G043388E68025S,-68.025,43.388
G043404E68016S,-68.016,43.404
G043415E68018S,-68.018,43.415
G043426E68009S,-68.009,43.426
G043437E68013S,-68.013,43.437
G043440E68005S,-68.005,43.44
G043455E68017S,-68.017,43.455
G043457E68037S,-68.037,43.457
G043534E68033S,-68.033,43.534
G043542E68029S,-68.029,43.542
G043572E68045S,-68.045,43.572
G043947E67972S,-67.972,43.947
G047608E67521S,-67.521,47.608
G047612E67586S,-67.586,47.612
G047681E67523S,-67.523,47.681
G047687E67561S,-67.561,47.687
G047703E67552S,-67.552,47.703
G047742E67553S,-67.553,47.742
G047836E67567S,-67.567,47.836
G048019E67627S,-67.627,48.019
G048514E67518S,-67.518,48.514
G048533E66747S,-66.747,48.533
G048937E67294S,-67.294,48.937
G048952E67294S,-67.294,48.952
G048961E67297S,-67.297,48.961
G049001E67287S,-67.287,49.001
G050058E67139S,-67.139,50.058
G050142E67089S,-67.089,50.142
G050383E67098S,-67.098,50.383
G050403E67100S,-67.1,50.403
G057016E67022S,-67.022,57.016
G057240E66843S,-66.843,57.24
G057378E66948S,-66.948,57.378
G057440E66958S,-66.958,57.44
G057474E66933S,-66.933,57.474
G057487E66955S,-66.955,57.487
G057488E66990S,-66.99,57.488
G057507E66961S,-66.961,57.507
G057546E66944S,-66.944,57.546
G057812E67020S,-67.02,57.812
G057822E67025S,-67.025,57.822
G057880E67032S,-67.032,57.88
G058382E67111S,-67.111,58.382
G058400E67118S,-67.118,58.4
G058405E67136S,-67.136,58.405
G058415E67135S,-67.135,58.415
G058606E67100S,-67.1,58.606
G058698E67111S,-67.111,58.698
G058729E67093S,-67.093,58.729
G058797E67114S,-67.114,58.797
G059360E67302S,-67.302,59.36
G060945E67460S,-67.46,60.945
G060954E67448S,-67.448,60.954
G061434E67550S,-67.55,61.434
G063255E67439S,-67.439,63.255
G063351E67454S,-67.454,63.351
G063414E67453S,-67.453,63.414
G063418E67454S,-67.454,63.418
G063420E67452S,-67.452,63.42
G063433E67454S,-67.454,63.433
G063448E67456S,-67.456,63.448
G063463E67453S,-67.453,63.463
G063465E67456S,-67.456,63.465
G063473E67449S,-67.449,63.473
G063483E67454S,-67.454,63.483
G063542E67465S,-67.465,63.542
G063557E67472S,-67.472,63.557
G063563E67469S,-67.469,63.563
G063563E67473S,-67.473,63.563
G063638E67498S,-67.498,63.638
G063692E67454S,-67.454,63.692
G063696E67472S,-67.472,63.696
G063711E67461S,-67.461,63.711
G063802E67503S,-67.503,63.802
G063804E67485S,-67.485,63.804
G063917E67512S,-67.512,63.917
G071891E70476S,-70.476,71.891
G074423E69798S,-69.798,74.423
G075765E69452S,-69.452,75.765
G075981E69441S,-69.441,75.981
G076009E69405S,-69.405,76.009
G076012E69405S,-69.405,76.012
G076014E69375S,-69.375,76.014
G076016E69402S,-69.402,76.016
G076018E69374S,-69.374,76.018
G076022E69420S,-69.42,76.022
G076051E69471S,-69.471,76.051
G076058E69399S,-69.399,76.058
G076117E69383S,-69.383,76.117
G076119E69390S,-69.39,76.119
G076131E69369S,-69.369,76.131
G076136E69363S,-69.363,76.136
G076144E69372S,-69.372,76.144
G076148E69367S,-69.367,76.148
G076148E69377S,-69.377,76.148
G076152E69369S,-69.369,76.152
G076154E69379S,-69.379,76.154
G076166E69374S,-69.374,76.166
G076183E69352S,-69.352,76.183
G076187E69380S,-69.38,76.187
G076192E69380S,-69.38,76.192
G076212E69350S,-69.35,76.212
G076217E69393S,-69.393,76.217
G076231E69413S,-69.413,76.231
G076232E69387S,-69.387,76.232
G076233E69390S,-69.39,76.233
G076235E69394S,-69.394,76.235
G076244E69376S,-69.376,76.244
G076247E69374S,-69.374,76.247
G076249E69391S,-69.391,76.249
G076249E69394S,-69.394,76.249
G076257E69391S,-69.391,76.257
G076262E69379S,-69.379,76.262
G076268E69390S,-69.39,76.268
G076271E69397S,-69.397,76.271
